State_Id,State/UT-wise,Drunken Driving/ Consumption- 2017,Drunken Driving/ Consumption - 2018,Drunken Driving/ Consumption - 2019
STA1,Andhra Pradesh,2064,1345,127
STA2,Arunachal Pradesh,19,55,46
STA3,Assam,373,377,279
STA4,Bihar,0,10,0
STA5,Chhattisgarh,86,216,134
STA6,Goa,10,9,6
STA7,Gujarat,65,106,47
STA8,Haryana,180,474,299
STA9,Himachal Pradesh,214,322,75
STA10,Jammu & Kashmir,1,20,25
STA11,Jharkhand,801,517,686
STA12,Karnataka,169,139,132
STA13,Kerala,133,157,104
STA14,Madhya Pradesh,1049,893,1030
STA15,Maharashtra,863,188,258
STA16,Manipur,44,74,81
STA17,Meghalaya,132,117,23
STA18,Mizoram,16,16,17
STA19,Nagaland,157,83,132
STA20,Odisha,1533,1220,1068
STA21,Punjab,129,112,1290
STA22,Rajasthan,421,146,262
STA23,Sikkim,32,2,19
STA24,Tamil Nadu,1833,1128,1047
STA25,Telangana,163,182,246
STA26,Tripura,11,28,19
STA27,Uttarakhand,56,20,25
STA28,Uttar Pradesh,3336,3595,4496
STA29,West Bengal,16,79,8
STA30,Andaman & Nicobar Islands,13,20,41
STA31,Chandigarh,10,12,8
STA32,Dadra & Nagar Haveli,1,1,1
STA33,Daman & Diu,12,8,4
STA34,Delhi,124,333,215
STA35,Lakshadweep,0,0,0
STA36,Puducherry,5,14,6
