Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female
State,Andhra Pradesh,377,66,0,971,176,0,187,31,0,175,37,0,75,23,0,2590,386,0,4375,719,0,133,34,0,678,146,0,137,41,0,194,26,0,69,11,0,152,40,0,1047,182,0,2410,480
State,Arunachal Pradesh,3,1,0,10,0,0,1,0,0,0,0,0,0,0,0,44,6,0,58,7,0,4,1,0,9,2,0,0,0,0,1,1,0,0,0,0,0,0,0,21,5,0,35,9
State,Assam,269,49,0,1003,165,0,125,39,0,245,27,0,28,4,0,6,0,0,1676,284,0,208,44,0,538,88,0,117,17,0,110,31,0,113,19,0,0,0,0,0,0,0,1086,199
State,Bihar,452,117,0,2475,425,0,199,55,0,132,21,0,62,11,0,117,25,0,3437,654,0,278,67,0,1348,256,0,139,38,0,369,49,0,218,63,0,128,40,0,107,14,0,2587,527
State,Chhattisgarh,118,18,0,1169,168,0,38,4,0,13,1,0,33,2,0,1826,253,0,3197,446,0,38,4,0,447,79,0,37,4,0,12,1,0,57,12,0,20,3,0,566,80,0,1177,183
State,Goa,7,1,0,112,23,0,11,4,0,9,2,0,1,1,0,55,8,0,195,39,0,3,1,0,16,3,0,3,0,0,4,1,0,8,1,0,2,2,0,19,2,0,55,10
State,Gujarat,228,41,0,1485,237,0,169,26,0,45,14,0,271,29,0,2535,404,0,4733,751,0,180,33,0,394,98,0,94,20,0,47,8,0,264,49,0,74,20,1,552,110,0,1605,338
State,Haryana,197,44,0,665,90,0,101,21,0,50,6,0,230,51,0,1849,190,0,3092,402,0,96,20,0,184,51,0,58,6,0,49,12,0,200,26,0,184,39,0,729,121,0,1500,275
State,Himachal Pradesh,57,11,0,485,78,0,62,6,0,25,2,0,49,11,0,13,3,0,691,111,0,44,5,0,131,24,0,38,3,0,16,3,0,23,5,0,20,4,0,6,0,0,278,44
State,Jammu & Kashmir,24,4,0,213,31,0,15,1,0,5,0,0,17,3,0,343,82,0,617,121,0,11,3,0,61,16,0,10,1,0,0,0,0,6,3,0,4,1,0,120,35,0,212,59
State,Jharkhand,218,29,0,671,73,0,253,40,0,319,37,0,244,34,0,113,8,0,1818,221,0,201,22,0,587,70,0,148,30,0,206,28,0,305,32,0,34,5,0,80,14,0,1561,201
