Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender
State,Andhra Pradesh,364,67,0,1412,243,0,170,42,0,185,25,0,136,26,0,2444,355,0,4711,758,0,131,31,0,713,140,0,96,25,0,128,24,0,119,27,0,81,16,0,503,81,0,1771,344,0
State,Arunachal Pradesh,2,0,0,22,3,0,1,0,0,0,0,0,0,0,0,64,14,0,89,17,0,8,1,0,9,1,0,4,0,0,0,0,0,3,1,0,0,0,0,28,2,0,52,5,0
State,Assam,125,40,0,450,71,0,76,8,0,68,9,0,16,6,0,583,127,0,1318,261,0,115,18,0,266,36,0,55,8,0,57,12,0,145,22,0,19,2,0,332,46,0,989,144,0
State,Bihar,359,134,0,1970,368,0,103,41,0,48,9,0,17,8,0,617,55,0,3114,615,0,152,37,0,1579,261,0,76,17,0,231,36,0,60,24,0,67,10,0,388,62,0,2553,447,0
State,Chhattisgarh,156,20,0,730,123,0,58,9,0,36,4,0,21,3,0,1435,193,0,2436,352,0,111,15,0,503,79,0,83,14,0,36,4,0,55,8,0,88,12,0,713,84,0,1589,216,0
State,Goa,4,2,0,94,17,0,16,4,0,6,2,0,5,0,0,45,11,0,170,36,0,4,0,0,23,0,0,7,4,0,0,0,0,4,1,0,0,0,0,13,2,0,51,7,0
State,Gujarat,328,64,0,1490,288,1,300,58,0,118,36,0,469,80,0,2053,299,0,4758,825,1,196,24,0,846,174,0,150,14,0,113,19,0,291,27,0,113,16,0,399,74,0,2108,348,0
State,Haryana,154,28,0,1116,82,0,90,14,0,63,8,0,244,37,0,1686,113,0,3353,282,0,92,12,0,323,35,0,41,10,0,58,7,0,295,28,0,262,44,0,486,101,0,1557,237,0
State,Himachal Pradesh,48,11,0,365,89,0,44,12,0,14,1,0,57,9,0,74,12,0,602,134,0,27,5,0,162,33,0,28,4,0,20,5,0,19,3,0,7,2,0,22,4,0,285,56,0
State,Jammu & Kashmir,14,2,0,210,33,0,19,2,0,3,1,0,36,8,0,289,59,0,571,105,0,13,1,0,64,10,0,18,1,0,4,1,0,31,1,0,2,2,0,139,23,0,271,39,0
State,Jharkhand,261,28,0,687,65,0,218,23,0,469,34,0,186,20,0,75,8,0,1896,178,0,210,34,0,365,49,0,190,17,0,285,31,0,139,25,0,59,8,0,48,8,0,1296,172,0
State,Karnataka,100,18,0,662,114,0,85,33,0,56,9,0,105,14,0,5277,795,0,6285,983,0,170,29,0,344,63,0,63,11,0,69,33,0,168,24,0,117,26,0,2254,351,0,3185,537,0
State,Kerala,193,43,0,1026,168,0,187,39,0,84,11,0,29,5,0,839,204,0,2358,470,0,108,24,0,820,96,0,72,15,0,34,7,0,35,6,0,50,11,0,150,47,0,1269,206,0
State,Madhya Pradesh,354,49,0,2529,358,0,266,69,0,119,26,0,216,36,0,2949,410,0,6433,948,0,289,52,0,1288,243,0,234,71,0,141,22,0,328,39,0,139,22,0,987,191,0,3406,640,0
State,Maharashtra,278,45,0,2694,363,0,143,28,0,61,10,0,301,40,0,3511,475,0,6988,961,0,267,60,0,2401,361,0,204,64,0,183,41,0,352,51,0,174,27,0,1496,233,0,5077,837,0
State,Manipur,6,2,0,50,7,0,1,1,0,1,0,0,0,0,0,25,1,0,83,11,0,5,1,0,16,6,0,0,0,0,3,0,0,0,0,0,3,1,0,6,0,0,33,8,0
State,Meghalaya,4,1,0,37,11,0,26,1,0,2,0,0,8,3,0,42,6,0,119,22,0,8,1,0,19,3,0,4,1,0,1,0,0,0,0,0,3,1,0,11,3,0,46,9,0
State,Mizoram,2,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,1,0,0,22,1,0,0,1,0,0,0,0,6,7,0,0,0,0,1,0,0,30,9,0
