Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender
State,Andhra Pradesh,602,102,0,1549,246,0,127,27,0,150,38,0,110,25,0,2614,424,0,5152,862,0,122,22,0,592,111,0,72,12,0,85,17,0,135,21,0,147,33,0,614,63,0,1767,279,0
State,Arunachal Pradesh,2,2,0,13,3,0,0,1,0,0,0,0,0,0,0,25,6,0,40,12,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,9,1,0,18,2,0
State,Assam,105,14,0,377,37,0,103,2,0,25,0,0,28,0,0,659,87,0,1297,140,0,132,29,0,300,28,0,128,17,0,104,14,0,107,18,0,13,1,0,238,31,0,1022,138,0
State,Bihar,586,93,0,1331,360,0,96,26,0,35,24,0,17,8,0,365,59,0,2430,570,0,277,70,0,1216,214,0,42,28,0,129,26,0,129,5,0,62,11,0,260,85,0,2115,439,0
State,Chhattisgarh,83,14,0,585,111,0,44,10,0,16,5,0,36,6,0,1479,179,0,2243,325,0,64,9,0,434,83,0,49,7,0,76,11,0,72,7,0,36,15,0,632,73,0,1363,205,0
State,Goa,6,1,0,120,7,0,17,4,0,8,0,0,13,0,0,77,14,0,241,26,0,8,0,0,19,6,0,2,0,0,0,0,0,5,0,0,1,0,0,20,6,0,55,12,0
State,Gujarat,340,56,0,1559,256,1,211,44,0,118,36,0,416,81,0,2068,316,0,4712,789,1,158,30,0,799,159,0,84,25,0,75,15,0,195,30,0,37,12,0,460,82,0,1808,353,0
State,Haryana,158,24,0,954,107,0,91,19,0,61,10,0,286,45,0,1634,185,0,3184,390,0,87,15,0,320,42,0,50,6,0,47,5,0,288,19,0,244,52,0,652,68,0,1688,207,0
State,Himachal Pradesh,165,29,0,342,56,0,43,8,0,17,2,0,51,8,0,86,10,0,704,113,0,36,7,0,166,24,0,21,4,0,8,2,0,28,7,0,18,2,0,31,9,0,308,55,0
State,Jammu & Kashmir,23,7,0,220,50,0,12,3,0,2,0,0,8,2,0,222,31,0,487,93,0,13,5,0,34,10,0,3,1,0,5,0,0,13,2,0,11,1,0,160,38,0,239,57,0
